variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,controlled_fanout,3700,37,100,0.0,insert,25,19.71305988,2.76285030304001,1.0830373187916837
node256_only,controlled_fanout,3700,37,100,0.0,lookup_absent,25,126.14632204,12.506583184235216,4.902580608220204
node256_only,controlled_fanout,3700,37,100,0.0,lookup_success,25,91.10126872000001,6.445761305493464,2.526738431753438
node256_only,controlled_fanout,4000,4,1000,0.0,insert,25,6.09287352,0.5452854509231166,0.21375189676186174
node256_only,controlled_fanout,4000,4,1000,0.0,lookup_absent,25,100.1432524,4.401821985544782,1.7255142183335543
node256_only,controlled_fanout,4000,4,1000,0.0,lookup_success,25,63.35386912,1.5492094142801622,0.6072900903978236
node256_only,controlled_fanout,4000,40,100,0.0,insert,25,19.12671624,2.2594042911829355,0.8856864821437107
node256_only,controlled_fanout,4000,40,100,0.0,lookup_absent,25,115.35039036,11.200336265023555,4.390531815889234
node256_only,controlled_fanout,4000,40,100,0.0,lookup_success,25,81.30335916,6.844327875035689,2.6829765270139903
node256_only,controlled_fanout,4700,47,100,0.0,insert,25,19.32781584,2.5927736209690213,1.0163672594198565
node256_only,controlled_fanout,4700,47,100,0.0,lookup_absent,25,124.08830176,16.193352817202232,6.3477943043432745
node256_only,controlled_fanout,4700,47,100,0.0,lookup_success,25,85.87578208000001,9.992503488085621,3.9170613673295636
node256_only,controlled_fanout,4800,48,100,0.0,insert,25,18.69527936,2.7808875633576777,1.0901079248362096
node256_only,controlled_fanout,4800,48,100,0.0,lookup_absent,25,125.71220096,14.598723113474408,5.722699460481968
node256_only,controlled_fanout,4800,48,100,0.0,lookup_success,25,87.81246868,8.79077935371098,3.4459855066547034
node256_only,controlled_fanout,4900,49,100,0.0,insert,25,19.32646096,2.9122894981409164,1.1416174832712391
node256_only,controlled_fanout,4900,49,100,0.0,lookup_absent,25,127.351243,11.896070571785348,4.663259664139856
node256_only,controlled_fanout,4900,49,100,0.0,lookup_success,25,87.19598708,6.273963711298061,2.4593937748288397
node256_only,controlled_fanout,5000,5,1000,0.0,insert,25,6.82443432,0.7491093404508072,0.2936508614567164
