variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
node32_keyarray,dense_uint64,65536,1,0,0,0,6,insert,0.003963200,65536,16.536132,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,6,lookup_success,0.001727300,65536,37.941296,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,6,lookup_absent,0.000198600,65536,329.989931,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,7,insert,0.004296400,65536,15.253701,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,7,lookup_success,0.001724400,65536,38.005103,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,7,lookup_absent,0.000217100,65536,301.870106,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,8,insert,0.003951600,65536,16.584675,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,8,lookup_success,0.001722800,65536,38.040399,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,8,lookup_absent,0.000194200,65536,337.466530,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,9,insert,0.004385100,65536,14.945155,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,9,lookup_success,0.001726100,65536,37.967673,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,9,lookup_absent,0.000226400,65536,289.469965,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,10,insert,0.003938500,65536,16.639838,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,10,lookup_success,0.001726000,65536,37.969873,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,10,lookup_absent,0.000207300,65536,316.140859,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,11,insert,0.004195000,65536,15.622408,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,11,lookup_success,0.001733500,65536,37.805596,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,11,lookup_absent,0.000232500,65536,281.875268,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,12,insert,0.003929100,65536,16.679647,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,12,lookup_success,0.001725400,65536,37.983076,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,12,lookup_absent,0.000186200,65536,351.965627,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,13,insert,0.006043000,65536,10.844945,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
